model_name,split_name,quality_scope,spec_class,threshold_metric,threshold_value,n_rows,n_host,n_field,tp,fp,tn,fn,precision,recall,f1,specificity,balanced_accuracy,accuracy
baseline_legacy_gaussian,test,classwise,F,f1,0.3839469733058426,1024,124,900,99,213,687,25,0.3173076923076923,0.7983870967741935,0.4541284403669725,0.7633333333333333,0.7808602150537634,0.767578125
baseline_legacy_gaussian,test,classwise,G,f1,0.3839469733058426,1450,550,900,353,170,730,197,0.6749521988527725,0.6418181818181818,0.657968313140727,0.8111111111111111,0.7264646464646465,0.7468965517241379
baseline_legacy_gaussian,test,classwise,K,f1,0.3839469733058426,1178,278,900,216,76,824,62,0.7397260273972602,0.7769784172661871,0.7578947368421054,0.9155555555555556,0.8462669864108714,0.8828522920203735
baseline_legacy_gaussian,test,classwise,M,f1,0.3839469733058426,967,67,900,49,220,680,18,0.1821561338289963,0.7313432835820896,0.2916666666666667,0.7555555555555555,0.7434494195688226,0.7538779731127198
baseline_mlp_small,test,classwise,F,f1,0.35674602230956004,1024,124,900,0,0,900,124,0.0,0.0,0.0,1.0,0.5,0.87890625
baseline_mlp_small,test,classwise,G,f1,0.35674602230956004,1450,550,900,532,267,633,18,0.6658322903629537,0.9672727272727273,0.7887323943661971,0.7033333333333334,0.8353030303030303,0.803448275862069
baseline_mlp_small,test,classwise,K,f1,0.35674602230956004,1178,278,900,252,104,796,26,0.7078651685393258,0.9064748201438849,0.7949526813880127,0.8844444444444445,0.8954596322941647,0.8896434634974533
baseline_mlp_small,test,classwise,M,f1,0.35674602230956004,967,67,900,15,8,892,52,0.6521739130434783,0.22388059701492538,0.33333333333333337,0.9911111111111112,0.6074958540630183,0.937952430196484
baseline_random_forest,test,classwise,F,f1,0.6133333333333333,1024,124,900,61,73,827,63,0.4552238805970149,0.49193548387096775,0.4728682170542636,0.9188888888888889,0.7054121863799283,0.8671875
baseline_random_forest,test,classwise,G,f1,0.6133333333333333,1450,550,900,408,128,772,142,0.7611940298507462,0.7418181818181818,0.7513812154696132,0.8577777777777778,0.7997979797979797,0.8137931034482758
baseline_random_forest,test,classwise,K,f1,0.6133333333333333,1178,278,900,239,75,825,39,0.7611464968152867,0.8597122302158273,0.8074324324324323,0.9166666666666666,0.8881894484412469,0.9032258064516129
baseline_random_forest,test,classwise,M,f1,0.6133333333333333,967,67,900,25,13,887,42,0.6578947368421053,0.373134328358209,0.4761904761904762,0.9855555555555555,0.6793449419568822,0.9431230610134437
main_contrastive_v1,test,classwise,F,f1,0.49873447142514904,1024,124,900,121,317,583,3,0.2762557077625571,0.9758064516129032,0.4306049822064057,0.6477777777777778,0.8117921146953405,0.6875
main_contrastive_v1,test,classwise,G,f1,0.49873447142514904,1450,550,900,453,237,663,97,0.6565217391304348,0.8236363636363636,0.7306451612903225,0.7366666666666667,0.7801515151515152,0.7696551724137931
main_contrastive_v1,test,classwise,K,f1,0.49873447142514904,1178,278,900,266,165,735,12,0.617169373549884,0.9568345323741008,0.7503526093088858,0.8166666666666667,0.8867505995203837,0.8497453310696095
main_contrastive_v1,test,classwise,M,f1,0.49873447142514904,967,67,900,43,229,671,24,0.15808823529411764,0.6417910447761194,0.25368731563421826,0.7455555555555555,0.6936733001658375,0.7383660806618407
baseline_legacy_gaussian,train,classwise,F,f1,0.3839469733058426,2388,288,2100,212,466,1634,76,0.31268436578171094,0.7361111111111112,0.43892339544513465,0.7780952380952381,0.7571031746031747,0.7730318257956449
baseline_legacy_gaussian,train,classwise,G,f1,0.3839469733058426,3381,1281,2100,835,370,1730,446,0.6929460580912863,0.6518345042935206,0.671761866452132,0.8238095238095238,0.7378220140515221,0.7586512866015972
baseline_legacy_gaussian,train,classwise,K,f1,0.3839469733058426,2749,649,2100,515,155,1945,134,0.7686567164179104,0.7935285053929122,0.7808946171341926,0.9261904761904762,0.8598594907916942,0.8948708621316842
baseline_legacy_gaussian,train,classwise,M,f1,0.3839469733058426,2257,157,2100,100,494,1606,57,0.16835016835016836,0.6369426751592356,0.2663115845539281,0.7647619047619048,0.7008522899605703,0.7558706247230838
baseline_mlp_small,train,classwise,F,f1,0.35674602230956004,2388,288,2100,0,0,2100,288,0.0,0.0,0.0,1.0,0.5,0.8793969849246231
baseline_mlp_small,train,classwise,G,f1,0.35674602230956004,3381,1281,2100,1231,568,1532,50,0.6842690383546415,0.960967993754879,0.7993506493506493,0.7295238095238096,0.8452459016393443,0.8172138420585625
baseline_mlp_small,train,classwise,K,f1,0.35674602230956004,2749,649,2100,585,206,1894,64,0.7395701643489254,0.901386748844376,0.8124999999999999,0.9019047619047619,0.9016457553745689,0.9017824663514005
baseline_mlp_small,train,classwise,M,f1,0.35674602230956004,2257,157,2100,53,21,2079,104,0.7162162162162162,0.3375796178343949,0.4588744588744589,0.99,0.6637898089171974,0.9446167478954364
baseline_random_forest,train,classwise,F,f1,0.6133333333333333,2388,288,2100,240,62,2038,48,0.7947019867549668,0.8333333333333334,0.8135593220338982,0.9704761904761905,0.901904761904762,0.9539363484087102
baseline_random_forest,train,classwise,G,f1,0.6133333333333333,3381,1281,2100,1278,0,2100,3,1.0,0.9976580796252927,0.9988276670574443,1.0,0.9988290398126464,0.9991126885536823
baseline_random_forest,train,classwise,K,f1,0.6133333333333333,2749,649,2100,602,102,1998,47,0.8551136363636364,0.9275808936825886,0.8898743532889873,0.9514285714285714,0.93950473255558,0.9457984721716988
baseline_random_forest,train,classwise,M,f1,0.6133333333333333,2257,157,2100,136,21,2079,21,0.8662420382165605,0.8662420382165605,0.8662420382165607,0.99,0.9281210191082803,0.9813912272928667
main_contrastive_v1,train,classwise,F,f1,0.49873447142514904,2388,288,2100,259,686,1414,29,0.2740740740740741,0.8993055555555556,0.42011354420113545,0.6733333333333333,0.7863194444444445,0.7005862646566164
main_contrastive_v1,train,classwise,G,f1,0.49873447142514904,3381,1281,2100,1038,508,1592,243,0.6714100905562742,0.810304449648712,0.7343473646975591,0.758095238095238,0.784199843871975,0.7778763679384797
main_contrastive_v1,train,classwise,K,f1,0.49873447142514904,2749,649,2100,630,379,1721,19,0.624380574826561,0.9707241910631741,0.7599517490952956,0.8195238095238095,0.8951240002934918,0.8552200800291014
main_contrastive_v1,train,classwise,M,f1,0.49873447142514904,2257,157,2100,115,484,1616,42,0.19198664440734559,0.732484076433121,0.3042328042328042,0.7695238095238095,0.7510039429784652,0.7669472751439964
